pktnum,Ai,ETp,Fs1,GQ,MET,Pmax,Pr,Pv,Qdot,Qsgf,R10,R90,dF,dP,dt,ser,zone
1,28.28358,0.6562103788956364,2.50535175188664,9.576399198095077,1.210924114965124,18.236860220635226,132.75785,12.1255968539532,17.493907865623484,362.3109205816549,0.19072586771352426,0.1589769523543436,0.5112921855250252,5.069590788669295,0.028479427878772112,1.3445306842500002,0.0
2,30.3574,0.35325180623355124,2.501246291845624,9.592874700743842,0.9412035476998852,18.127687781102388,124.4963,11.70319949304022,17.445047508695335,360.4493424250033,0.1883595020592864,0.15985264739068702,0.5443712429572818,4.934185938260686,0.02725062618764796,1.4239897405000002,1.0
3,30.05227,0.2750513197612392,2.6229469154545813,9.665788008831472,0.8648175541996324,18.058328917390014,126.25156,11.595930974352072,17.42672423820739,361.30713402847323,0.1867598046884517,0.1620143668331881,0.5616253935371351,4.7318355933941065,0.02486458454727647,1.395552288125,2.0
4,29.32778,0.3637759261414573,2.5171358418507137,9.701434469770838,0.943889357132754,18.351523704306494,129.2167,8.974144396751015,17.583434441377385,361.5686716927847,0.19177847803097992,0.16240261682839427,0.5629826023883306,4.995277995563519,0.02631256601724341,1.4032609535499998,3.0
5,28.66695,0.3705847451342308,2.572449464621697,9.778705590552748,0.9831251301577808,18.70939496861218,132.34718999999998,9.11287649424665,17.704465450874487,361.12669148682,0.1964440629605516,0.16339602289520652,0.5650128004095096,5.173015470724053,0.02602120487278337,1.407905581875,4.0
6,28.2357,0.2571677133593866,2.619803740372204,9.870865456666516,0.9021937600259092,18.38506981408143,134.58558,8.383799794389613,17.763610558999453,361.9280807627799,0.1911635897484132,0.16337483927951074,0.5622622787586824,4.733912553902097,0.024371666000602588,1.3467017115000002,5.0
7,27.71406,0.2794153228188918,2.42751530619797,9.822800701635954,0.8862397840247311,18.65670713714736,137.25045,8.919165397731248,17.660228962064302,355.62632319292624,0.1956629778707792,0.1651512981504259,0.5429380733842382,5.04512590722668,0.02408104564966517,1.3554946745999998,6.0
8,27.204390000000004,0.2675206267780013,2.555867553048924,9.840211765963694,0.8784919504899236,18.538309285639592,139.85765,8.651632144370359,17.57538177461379,355.8928798674134,0.19243035039751946,0.1668160347554301,0.5472879191343663,4.737547245935765,0.02223816304272808,1.3036343688,7.0
193,38.77961,0.1808534686128241,1.9074779512159232,10.649994997097897,0.7152849382838156,20.156786839163434,97.73471,9.243245801818208,18.82411303807288,378.4229416096823,0.2072421862684692,0.1830691544203491,0.5185288062585367,5.131018177047307,0.0192944812653636,2.001900417225,0.0
194,38.93868,0.10852744222685827,1.9857764843293784,10.721449529083818,0.8180430745955825,19.748443197355048,98.18998,7.976475784380531,18.714225572956032,379.2460828737805,0.20260170290468613,0.18505346697437772,0.525873328580106,4.399744277906457,0.015720564332831755,1.9626068187,1.0
195,38.83397,0.1147309335212512,1.9962756563909352,10.740111264301124,0.7767589372565809,19.633277771547736,98.53903,7.964569383595004,18.829709734310764,380.43000701770274,0.20458938768515386,0.185757106775668,0.5256393430842969,4.293301126226888,0.016970625355137825,1.977717007175,2.0
