pktnum,Ai,ETp,Fs1,GQ,MET,Pmax,Pr,Pv,Qdot,Qsgf,R10,R90,dF,dP,dt,ser,zone
3209,65.77008000000001,-0.12423694402635024,1.3279965259374285,9.294638733356154,0.3838922869012542,16.213335657678364,58.32617,5.151792934596888,15.20489903074807,316.5245908445428,0.15188540057824698,0.18490284166579926,0.4853163304038333,1.6289454079901908,-0.0036347281759452335,2.4954812604000005,3.0
3210,64.9912,-0.07778025471658268,1.3260344426110542,9.403224030455133,0.2978756466043357,16.421037769743172,59.03198,3.998179083312605,15.526780130753355,325.4476370482034,0.15318814439475625,0.1847063308053249,0.482596975043867,1.7839075433924183,-0.0008036925240878513,2.4864008340000003,3.0
3223,59.17674,-0.1415036051692269,1.7119548814545111,9.622089223020422,0.4133744574818721,17.365253573817693,65.01106999999999,5.72979756446547,16.56968978891267,333.6706276279615,0.1809345404867446,0.18311026760819568,0.4881296953491248,3.0195460184976586,0.011674202242204279,2.66487654405,3.0
3224,58.57583,-0.1670939572094028,1.2801681642633045,9.745217968671422,0.4425509732601469,17.887711219629047,65.7139,6.473598993521322,16.831236061505304,335.86474984529605,0.18511556333367613,0.18402965492777398,0.4819577104818489,3.4635049335137786,0.012518330470725704,2.6980027298,3.0
3225,58.22747,-0.06939991599295325,1.2652216541761871,9.733741053376733,0.4598020545509236,18.640165170224442,66.06567,7.560918631827331,16.893546349570727,330.7754348639089,0.19646021431917035,0.18311253467983168,0.4794937024996915,4.250219190509098,0.013930795296448029,2.8595510517,3.0
3226,57.501999999999995,-0.0732033463019306,1.3456548339800232,9.734016435945103,0.4513905497396706,19.36097991391932,66.86452,8.805864067539142,16.968373770861913,327.46820713468577,0.20499998219301604,0.18199236794412804,0.4984978332478995,5.020839515388793,0.015203080774343625,2.960059205,3.0
3239,55.38453000000001,-0.06291206307887975,1.7643262380553244,9.904403453212256,0.3760704875631937,18.733798153097165,69.52583,8.194633957159532,17.23119926310357,341.8012811459855,0.19208215494013334,0.1818579445339548,0.4950875856607047,4.367985738184746,0.014623876129767675,2.6457189981000004,3.0
3240,55.54461,-0.09296887468683224,1.808562324086219,9.766797108829447,0.3647472954501119,17.806267884499327,69.33036,6.938331883499108,16.881126657024552,338.45237719151504,0.18214179698250926,0.1813653130481982,0.4938821994614648,3.6007860975795336,0.01273971416641162,2.51256043335,3.0
3241,55.85431,-0.14821797271513049,1.9853189147067425,10.289838499150981,0.34478612924373664,18.800627636942203,69.08784,7.417537046891835,17.77914088111874,356.99493415227585,0.17658501880062902,0.17438909660255095,0.4909098080395364,3.894132774247744,0.012926653686301748,2.4496304008250003,3.0
3242,55.737730000000006,-0.13143495874498254,2.011614962559571,9.89880114192304,0.34024705594467264,18.773753705041656,69.1452,8.266972813888396,17.21426767815521,343.02783127913153,0.1915401239678726,0.1808370823661336,0.4917795098969382,4.5890792787175885,0.014498898056988454,2.6635667723750003,3.0
