Ai,ETp,Fs1,GQ,MET,Pmax,Pr,Pv,Qdot,Qsgf,R10,R90,dF,dP,dt,ser,dw
0.40166011755734077,0.5019908759157021,0.9051683976769919,0.7359441219164203,0.6159805191415163,0.6446580448982377,0.4278679663672799,0.5212032173332194,0.767096522635253,0.7970562667531018,0.6324213824816026,0.8266077086600817,0.43676447065528984,0.39682021549121493,0.6812387337682554,0.36962541013747274,1.0
0.4311108018410405,0.27023221413903703,0.9036851198561211,0.7372102605849492,0.4787773591796956,0.6407988887400754,0.4012416493732822,0.5030470089294137,0.7649540276488724,0.792960937433666,0.6245748315315346,0.8311609238070387,0.4650218104273414,0.38622145433720007,0.6518453305132108,0.39146952764225534,1.0
0.4267775967916701,0.21041004130578295,0.94765481727903,0.7428136318925327,0.43992085004759246,0.6383471098189105,0.40689871241434405,0.49843620933478555,0.7641505641127333,0.7948480132414177,0.6192704497245789,0.8424008798426089,0.47976093642606543,0.3703825610612095,0.5947703080540487,0.38365177746332385,1.0
0.41648898627740294,0.2782830044659177,0.9094259179325127,0.7455530543886906,0.48014359366815595,0.6487113049611241,0.4164551222371476,0.38574207840949265,0.7710222049625968,0.7954233760651404,0.635911697037044,0.8444196028975668,0.48092031382756506,0.39100341097912367,0.6294065748821275,0.38577096942577244,1.0
0.4071044226724626,0.2834916465722587,0.9294103944658446,0.7514913226205175,0.500102294249134,0.6613617605100194,0.4265444419273437,0.3917052995550594,0.7763293362925098,0.7944510534744235,0.6513821505555828,0.8495848617636849,0.4826545831732526,0.4049157416058291,0.6224371056229091,0.3870478258558077,1.0
0.4009801652164898,0.19672935667945,0.9465192071792542,0.7585737875783822,0.45893361425294754,0.6498971324160596,0.4337585944406366,0.360366873395502,0.7789228109536346,0.7962140484829293,0.633872810008271,0.8494747166151454,0.4803049870580375,0.3705451343241619,0.5829795091652376,0.3702222480133956,1.0
0.3935722633977451,0.21374843671656055,0.8770465617823596,0.7548800219777239,0.4508180450788544,0.6594992888997141,0.44234725799260866,0.3833788767032179,0.7743895949265129,0.7823506646397181,0.6487921772172436,0.8587114932363443,0.46379754460116435,0.3949052365647652,0.5760277599684968,0.3726395246365572,1.0
0.3863343496642132,0.20464917666772295,0.9234194503529289,0.756218058350608,0.4468768282313146,0.6553140219979705,0.4507500557323489,0.3718793031915141,0.7706691007437028,0.7829370689012948,0.6380732183251144,0.8673673649850865,0.4675133418111999,0.3708296384066745,0.5319453079270657,0.35838258946525436,1.0
0.5529750755147571,0.08302182887755848,0.7174490037622484,0.8239409820052566,0.4161273126384322,0.6980912628252498,0.3164584772971534,0.34285857363336797,0.8206066632508048,0.8343123263047968,0.6718000582729708,0.9621937019798147,0.44922021593812034,0.34438824458322,0.37604187084823,0.5395409407894947,1.0
0.5514880703015052,0.08776740457821805,0.7212422909702174,0.8253751321543719,0.3951266371740409,0.6940202595197131,0.3175834376189761,0.3423467922776937,0.8256705688844194,0.8369168687148312,0.6783909542634884,0.965852308307669,0.44902033697632254,0.3360564489516168,0.4059438053812475,0.543694888094492,1.0
0.541822891444785,0.1549654993944325,0.7494513693129492,0.8272494692318832,0.35788443198618003,0.7044730763607991,0.32351174163034196,0.36407076249317777,0.8268636185463388,0.8345775517201671,0.6869045224956336,0.9640617083201084,0.45323925251757635,0.36735916068301305,0.4007960830093337,0.541429755529333,0.0
0.5383951534224126,0.0972865247739441,0.7299181053949054,0.830981347525513,0.35877740120185153,0.7135252253480413,0.3258984430104383,0.37168711100918383,0.8292646117755986,0.8362668326221285,0.6915626409769893,0.9640188387170123,0.4492269252429292,0.3736838276524388,0.3900927377513037,0.5419910742105354,1.0
0.5256601061963995,0.07892439818529826,0.6989969156558897,0.830417509095871,0.3817725253334093,0.7198351059937609,0.3334991525814577,0.3959335093188854,0.8303890016920104,0.8418052279790149,0.690659288542242,0.9616370833182059,0.4567553385944835,0.4002451281878931,0.4037456383141869,0.5284840984856594,0.0
0.5515211590432383,0.07682312847310352,0.8475657631595774,0.818336460388716,0.4039524008188291,0.6980594285134307,0.3168564434926517,0.37123668246513725,0.8252311552371632,0.848535907753826,0.663722090463129,0.9619794369159786,0.4582675048478966,0.3681472123138722,0.46063788090519797,0.5304886479015537,1.0
0.5428577311916065,0.028872411220698283,0.81521598857303,0.8233150221555842,0.3751980121263309,0.7048479123073109,0.3230301728829225,0.3755500541423573,0.8314926308663375,0.8446711998148589,0.6894378889499958,0.9631721289691421,0.45914530950154636,0.3786070318566312,0.47073784182537354,0.5447495066828147,1.0
0.541543412287142,0.05017729558702605,0.8258578522253853,0.828023215438303,0.3726010083518847,0.6977804956341181,0.323494402319265,0.3922209552752907,0.8407165465120093,0.8579433414106443,0.6927142194125182,0.9616487684728798,0.4631863689237434,0.3688865439979412,0.5066557244491162,0.5457107360030311,1.0
0.5293698795882227,0.11342136099169786,0.7376016221142188,0.8261229758454206,0.3435652778928834,0.6957398504949084,0.3309464708072233,0.35904421784680307,0.8318466948788097,0.8472929489665745,0.6874797167670039,0.9664156121652852,0.4609490582357809,0.3590115263457425,0.4505775285764944,0.5294213061732622,1.0
0.5200892685967959,0.07492222465823861,0.7001562094611377,0.8282861331143472,0.2986081822513162,0.7101943424149179,0.3374807482886052,0.39185670463973876,0.8307460846339801,0.8373987073677438,0.691763275855051,0.9678003562462408,0.45666859976664864,0.38931635087108674,0.42382899972077814,0.5233112242314538,1.0
0.5892366441483341,0.05593366367615684,0.787025542221732,0.8048600381752743,0.27196291665715544,0.6854740296146764,0.2979053177572175,0.35772068313369154,0.8044228690866817,0.8211030113579463,0.655442122175,0.954215602403107,0.45447009476733996,0.3573624022295076,0.3994942206894597,0.560634783958655,1.0
0.5853502081182446,0.06609166056667261,0.8209705510808895,0.8078830650041813,0.26268906378951196,0.6781861720380283,0.30029878726989034,0.3610065117129615,0.8085042363244068,0.8242366922885299,0.6586130078857225,0.9531337314989367,0.4482552746289719,0.34051524724471477,0.4056359223004118,0.5593732428601975,0.0
0.5792168619091778,0.05687459745782562,0.7646699418163274,0.8103364114118601,0.31440052441722066,0.681198790716669,0.30362210151096625,0.36580197895318795,0.8092942554341539,0.820006152886027,0.6652106806474697,0.9525700278635603,0.4560787991876467,0.34469878724754466,0.39447487916561186,0.5592865961328477,0.0
0.5728070187895768,0.011721703826831605,0.7049303108579577,0.8117671059326175,0.3565556008437096,0.690946853284186,0.30730876778379207,0.3668297415498483,0.8109031394609137,0.8163902661533119,0.672995610929783,0.9533804164036128,0.43759835598283076,0.35841284468652,0.39300177665856306,0.5596395588732058,0.0
0.5604687524408273,0.13641179848624263,0.724285288706912,0.8152285790981887,0.43439725904220644,0.6980115260132908,0.31415022179653895,0.37763249543981564,0.8158500362391461,0.8225343453209705,0.6789652777704798,0.9530516002920835,0.4616349664517424,0.37172532580032835,0.40559054484650164,0.5529555266828663,0.0
