pktnum,ETS,ETp,Fs1,Fs2,GQ,Isoll,MET,Pmax,Pv,Qdot,Qsgf,R10,R90,dF,dP,dR,dt,ser
5,0.09029056412183678,0.07338654310920845,0.15412930142883358,0.07548339880180863,2.7201326169700963,2.4,-0.009931274066069307,4.681192960887956,10.645738386062527,4.47611693384835,94.43275879549904,0.4130180012198417,0.39367706950750947,0.050813348095057886,0.13360401674508537,0.0,-0.0025710025568386197,3.1160755759852568
6,0.0813093800934439,0.07389452044172629,0.11010257197584664,0.10460580975856248,1.905907327091667,2.4,0.010409567419102927,3.4844496018748496,6.74162918964443,3.077494310234848,68.28466046198176,0.5266451175339589,0.5144445307429963,0.03773655551900168,0.07773098455660055,0.0,-0.00881151138005909,4.0725657418620616
7,0.0974041804852952,0.08359370359369578,0.13183399075916036,0.0,1.9498296369539567,2.4,0.008554233658568222,3.491666944026372,10.546487738076323,3.150776136706949,69.49467165520133,0.5420845907069289,0.5327784546429405,0.04379393339028548,0.07941505266771509,0.0,-0.00841986062246014,4.229175477325737
8,0.10832589076616372,0.1566311318758835,0.17933546624332125,0.2352650586418866,2.5202991041625316,2.8,0.058568652793336895,4.319717720058109,4.703543274138501,4.091927541235867,85.87120995748482,0.4800616054204471,0.4653284422481187,0.05192299754142882,0.1109095504041866,0.0,-0.006891005798997041,3.7709868889735003
9,0.11076706376314505,0.13773376321303488,0.15783549927117776,0.0,2.9920148123293,2.8,0.02696079180488198,5.072885729083303,0.46232970489484626,4.889595262155061,101.61390900329668,0.3776710713343312,0.36365846277922914,0.06335832611743619,0.15639226927477967,0.0,-0.004469722443551483,2.9312046374645107
10,0.11095931622664068,0.1252009781539023,0.15659187680072964,0.0,2.447667588424672,2.8,0.016458951984674286,4.189375275635354,2.955703614227685,3.9818621685603524,82.09429232551349,0.46790715562627827,0.4546534195135347,0.050839118722124876,0.11867150011124128,0.0,-0.00643756172894383,3.6516233199834796
11,0.13339274459529804,0.09430700958164806,0.17645230990457916,0.0,2.5180846324331423,3.2,-0.020313225922389933,4.555576789751745,1.0879603031040312,4.294555642011548,80.50981004114841,0.43361765020242193,0.43695518585550064,0.06995275373857135,0.6153829862447333,0.0,0.00791671021600715,3.4789846437540106
12,0.10628766983856863,0.12869973957625902,0.15461200249438764,0.17985502122240166,2.538922300029379,3.2,0.02960462590611357,4.524348541310908,1.0092568824376371,4.319080624300417,80.02487621274416,0.4305664297623184,0.4415145553043676,0.05469863424246446,0.5607330313135268,0.0,0.007004692807901947,3.5496197814049877
13,0.08229433788123686,0.07257542832778796,0.246208465934097,0.28051306202451776,3.401765219500878,3.2,-0.006904301990935835,6.6783544216528705,15.10990502087454,5.0783025695055315,132.003660983565,0.4399163475913955,0.3593077365271253,0.06980010009231652,0.15925839892002092,0.0,-0.033797523604530255,2.8433868603770924
14,0.0868954601693197,0.10788309910641303,0.48196701397941455,0.18535585847774824,3.4102024551595354,3.6,0.029931127589588158,5.814760478737761,0.5803505729343645,5.68474944501775,111.35675163878328,0.41237567490775867,0.3657774870145509,0.08826261927005019,0.30612912371714796,0.0,0.001140079721370535,2.9234384259789925
15,0.1229922812005988,0.124284875865591,0.2062596494979571,0.31453619737424315,2.670218010885615,3.6,0.0063923194624955215,5.28310233739513,2.2723588184083434,4.788220761728944,80.50800412184074,0.3917622005682554,0.4354551496298809,0.05092138226805565,1.3024251803589264,0.0,0.022106550746891385,3.496520521931983
16,0.1175953730498307,0.12474038613596505,0.21557589491045107,0.039537798070551675,2.6711197171083767,3.6,0.020705821546080472,5.44055744136955,2.6699431447682294,4.746282143956046,79.90746204850556,0.4078184523404193,0.41979142471262154,0.05170803415322078,1.5316929832906383,0.0,0.019722218044862627,3.371182986602211
17,0.10708209614000808,0.11983474330056865,0.14415273643611526,0.0,2.587696494799105,3.6,0.012744105424815189,5.034924350825227,1.839590914943227,4.5150092950116685,80.36160124934527,0.3789109551782215,0.42380197599623365,0.04861406883571551,1.0590156979145169,0.0,0.014387690250982521,3.3986607050999327
18,0.0914379621184267,0.11785374668154702,0.22348033720899518,0.3441120305911745,3.541786951317945,4.0,0.03771240653217589,5.975159908481917,0.5596698930314242,5.894696633455887,117.22097533890805,0.35499817327922506,0.35675914598223163,0.07570172942617504,0.26543464016801366,0.0,0.0008307160678637793,2.8594091802592154
19,0.08977891230681578,0.11865369593115105,0.37005776502424453,0.09301755228558113,3.5172249292261255,4.0,0.033511035955246626,6.200127523433086,1.7115296702068992,6.013512345217707,109.8448357483301,0.35285325391041195,0.3642792946334736,0.07780464509634744,0.7730979520324563,0.0,0.008649482360408411,2.920344237887742
20,0.09119955671090452,0.11890670360756062,0.31611922893236155,0.21554439420903979,4.350420229255026,4.0,0.03800771120053881,7.522478717030047,1.472425943977244,7.272164988050452,138.86276251422598,0.28909486441819393,0.2946841775543732,0.07597609548160378,0.6059768972438349,0.0,0.0028122716492087196,2.3625852862872456
21,0.08018166919919167,0.11837705131315346,0.5397720509549311,0.2679807337007672,5.067871913624123,4.4,0.04365797590353537,8.627061906661178,1.027756852780777,8.376976563171747,171.67276216373952,0.2711658452593722,0.27511151216905333,0.093968916350744,0.4379374725384171,0.0,-0.0007910678879357036,2.2053336448053837
22,0.07927640872204833,0.10874952414932082,0.21702724016527966,0.0,3.4295238095996394,4.4,0.031240819610673043,6.504736204972896,2.1345843152050596,6.012640928623384,107.0349139553922,0.3188456121963306,0.322518490591069,0.07134119438713071,1.2288374985772492,0.0,0.015984797207617918,2.5783260830878776
23,0.06608600430173084,0.09916918523379792,0.4962507494049492,0.406628286863382,4.401307371117877,4.4,0.0330673127396679,7.537881951850212,1.4511981437909305,7.416070492985256,139.63992908572556,0.35015685965521093,0.33005070340073206,0.10035678905216283,0.6496868969937619,0.0,0.004476345486396305,2.6314223066947067
24,0.06901689159482416,0.08698438838328215,0.6215085979622781,0.24076416027469735,4.298912708821292,4.8,0.02387128674631711,7.460773785654832,1.3811547989883828,7.205626742355252,138.0102562474879,0.3056772278691351,0.3287916889981761,0.10386651689145587,0.6481345125212785,0.0,0.0029201072799962535,2.612419851653364
25,0.05772680053418355,0.10695604785460233,0.4612255561020503,0.22739062131427154,4.300824384125054,4.8,0.053967919487654115,7.400959681364419,1.291279716653211,7.177142671604047,139.23697045970596,0.3019815688950816,0.32817723718112296,0.07754124049187672,0.5288306951581561,0.0,0.0016130561672451638,2.6222360518479744
26,0.04974694770626087,0.11150308039345092,0.4836674792275901,0.3033017565639269,4.986614575083395,4.8,0.06351213798275168,8.59145126858774,1.5000897038411678,8.320928160894423,165.4409511868001,0.2642725191653665,0.2867059499433823,0.07643397174233613,0.7001668692678651,0.0,0.001999179144385854,2.2938116458215414
27,0.029501402540084598,0.028541866976031116,0.4876538536193535,0.2535610373166425,5.212317626041973,5.2,-0.0009675774467758913,10.691280378615101,4.605960413300663,8.992573128746097,166.38458270102413,0.2734446374711373,0.2715507796498873,0.09273713334279243,2.6538622709355764,0.0,0.012023871395695274,2.122792060409394
28,0.07651833682167108,0.08528304478587145,0.396193757613048,0.1702173413216382,4.355241316503022,5.2,0.020930759581361258,9.30830240333263,4.388564009947985,7.524659187862277,139.2899056478762,0.3214351743573401,0.319964699170587,0.07194086250737719,2.537467710551925,0.0,0.012168711375202701,2.5410714924420144
29,0.0741069313150362,0.09174412806925858,0.22049657557104466,0.9489197740028376,4.3296861897883305,5.2,0.027238898843929604,8.483500855209872,3.1080761879900103,7.460169585189563,135.96159864531896,0.31006849744613374,0.3171314900539533,0.06440925469005787,1.7736547574383792,0.0,0.011065549809066821,2.5231441488652355
30,0.07333532454310898,0.1027851675083582,0.33073604972874343,0.07742923934674004,4.341746123280035,5.2,0.029437013167942894,8.884485422205794,3.8442222474454772,7.512515772186385,136.4311944554627,0.31622359928999844,0.3205382803046352,0.08731762448888558,2.155147876362883,0.0,0.012284909856419723,2.5581869562295827
